year,region ,site,treatment ,quad,species ,cover
2019,TL,ST,CT,1,moss,0.323529412
2019,TL,ST,CT,1,lichen,0.009803922
2019,TL,ST,CT,1,litter,0.058823529
2019,TL,ST,CT,1,frost boil,0
2019,TL,ST,CT,1,bare,0
2019,TL,ST,CT,1,And pol,0
2019,TL,ST,CT,1,Bet nan,0.068627451
2019,TL,ST,CT,1,Car big,0.039215686
2019,TL,ST,CT,1,Cas tet,0
2019,TL,ST,CT,1,Emp nig,0.117647059
2019,TL,ST,CT,1,Eri vag,0.098039216
2019,TL,ST,CT,1,Led pal,0.058823529
2019,TL,ST,CT,1,Ped lap,0
2019,TL,ST,CT,1,Pol bis,0.004901961
2019,TL,ST,CT,1,Rub cha,0.019607843
2019,TL,ST,CT,1,Sal pul,0.004901961
2019,TL,ST,CT,1,Vac uli,0.019607843
2019,TL,ST,CT,1,Vac vit,0.039215686
2019,TL,ST,CT,1,St. D. Bet.,0
2019,TL,ST,CT,1,Dead,0.049019608
2019,TL,ST,CT,1,sal ret,0.088235294
2019,TL,ST,CT,1,vac vit winter kill,0
2019,TL,ST,CT,1,calcan,0
2019,TL,ST,CT,2,moss,0.176470588
2019,TL,ST,CT,2,lichen,0.019607843
2019,TL,ST,CT,2,litter,0.068627451
2019,TL,ST,CT,2,frost boil,0
2019,TL,ST,CT,2,bare,0
2019,TL,ST,CT,2,And pol,0
2019,TL,ST,CT,2,Bet nan,0.215686275
2019,TL,ST,CT,2,Car big,0.039215686
2019,TL,ST,CT,2,Cas tet,0
2019,TL,ST,CT,2,Emp nig,0
2019,TL,ST,CT,2,Eri vag,0.196078431
2019,TL,ST,CT,2,Led pal,0.068627451
2019,TL,ST,CT,2,Ped lap,0
2019,TL,ST,CT,2,Pol bis,0.009803922
2019,TL,ST,CT,2,Rub cha,0.009803922
2019,TL,ST,CT,2,Sal pul,0.019607843
2019,TL,ST,CT,2,Vac uli,0
2019,TL,ST,CT,2,Vac vit,0.039215686
2019,TL,ST,CT,2,St. D. Bet.,0
2019,TL,ST,CT,2,Dead,0
2019,TL,ST,CT,2,sal ret,0.098039216
2019,TL,ST,CT,2,vac vit winter kill,0.039215686
2019,TL,ST,CT,2,calcan,0
2019,TL,ST,CT,3,moss,0.241758242
2019,TL,ST,CT,3,lichen,0
2019,TL,ST,CT,3,litter,0.065934066
2019,TL,ST,CT,3,frost boil,0
2019,TL,ST,CT,3,bare,0
2019,TL,ST,CT,3,And pol,0
2019,TL,ST,CT,3,Bet nan,0.241758242
2019,TL,ST,CT,3,Car big,0.087912088
2019,TL,ST,CT,3,Cas tet,0
2019,TL,ST,CT,3,Emp nig,0
2019,TL,ST,CT,3,Eri vag,0.142857143
2019,TL,ST,CT,3,Led pal,0.087912088
2019,TL,ST,CT,3,Ped lap,0
2019,TL,ST,CT,3,Pol bis,0
2019,TL,ST,CT,3,Rub cha,0.021978022
2019,TL,ST,CT,3,Sal pul,0
2019,TL,ST,CT,3,Vac uli,0
2019,TL,ST,CT,3,Vac vit,0.043956044
2019,TL,ST,CT,3,St. D. Bet.,0
2019,TL,ST,CT,3,Dead,0.032967033
2019,TL,ST,CT,3,sal ret,0.032967033
2019,TL,ST,CT,3,vac vit winter kill,0
2019,TL,ST,CT,3,calcan,0
2019,TL,ST,CT,4,moss,0.181818182
2019,TL,ST,CT,4,lichen,0.024242424
2019,TL,ST,CT,4,litter,0.096969697
2019,TL,ST,CT,4,frost boil,0
2019,TL,ST,CT,4,bare,0
2019,TL,ST,CT,4,And pol,0
2019,TL,ST,CT,4,Bet nan,0.133333333
2019,TL,ST,CT,4,Car big,0.036363636
2019,TL,ST,CT,4,Cas tet,0
2019,TL,ST,CT,4,Emp nig,0
2019,TL,ST,CT,4,Eri vag,0.23030303
2019,TL,ST,CT,4,Led pal,0.121212121
2019,TL,ST,CT,4,Ped lap,0
2019,TL,ST,CT,4,Pol bis,0
2019,TL,ST,CT,4,Rub cha,0
2019,TL,ST,CT,4,Sal pul,0
2019,TL,ST,CT,4,Vac uli,0
2019,TL,ST,CT,4,Vac vit,0.145454545
2019,TL,ST,CT,4,St. D. Bet.,0
2019,TL,ST,CT,4,Dead,0.024242424
2019,TL,ST,CT,4,sal ret,0
2019,TL,ST,CT,4,vac vit winter kill,0
2019,TL,ST,CT,4,calcan,0.006060606
2019,TL,ST,CT,5,moss,0.32160804
2019,TL,ST,CT,5,lichen,0.010050251
2019,TL,ST,CT,5,litter,0.090452261
2019,TL,ST,CT,5,frost boil,0
2019,TL,ST,CT,5,bare,0
2019,TL,ST,CT,5,And pol,0
2019,TL,ST,CT,5,Bet nan,0.221105528
2019,TL,ST,CT,5,Car big,0.020100503
2019,TL,ST,CT,5,Cas tet,0
2019,TL,ST,CT,5,Emp nig,0
2019,TL,ST,CT,5,Eri vag,0.201005025
2019,TL,ST,CT,5,Led pal,0.040201005
2019,TL,ST,CT,5,Ped lap,0.005025126
2019,TL,ST,CT,5,Pol bis,0
2019,TL,ST,CT,5,Rub cha,0
2019,TL,ST,CT,5,Sal pul,0
2019,TL,ST,CT,5,Vac uli,0
2019,TL,ST,CT,5,Vac vit,0.08040201
2019,TL,ST,CT,5,St. D. Bet.,0
2019,TL,ST,CT,5,Dead,0.010050251
2019,TL,ST,CT,5,sal ret,0
2019,TL,ST,CT,5,vac vit winter kill,0
2019,TL,ST,CT,5,calcan,0
2019,TL,ST,CT,6,moss,0.489795918
2019,TL,ST,CT,6,lichen,0.020408163
2019,TL,ST,CT,6,litter,0.040816327
2019,TL,ST,CT,6,frost boil,0
2019,TL,ST,CT,6,bare,0
2019,TL,ST,CT,6,And pol,0
2019,TL,ST,CT,6,Bet nan,0.163265306
2019,TL,ST,CT,6,Car big,0.020408163
2019,TL,ST,CT,6,Cas tet,0
2019,TL,ST,CT,6,Emp nig,0
2019,TL,ST,CT,6,Eri vag,0.132653061
2019,TL,ST,CT,6,Led pal,0.081632653
2019,TL,ST,CT,6,Ped lap,0
2019,TL,ST,CT,6,Pol bis,0
2019,TL,ST,CT,6,Rub cha,0
2019,TL,ST,CT,6,Sal pul,0
2019,TL,ST,CT,6,Vac uli,0
2019,TL,ST,CT,6,Vac vit,0.051020408
2019,TL,ST,CT,6,St. D. Bet.,0
2019,TL,ST,CT,6,Dead,0
2019,TL,ST,CT,6,sal ret,0
2019,TL,ST,CT,6,vac vit winter kill,0
2019,TL,ST,CT,6,calcan,0
2019,TL,ST,CT,7,moss,0.242990654
2019,TL,ST,CT,7,lichen,0.046728972
2019,TL,ST,CT,7,litter,0.08411215
2019,TL,ST,CT,7,frost boil,0
2019,TL,ST,CT,7,bare,0.028037383
2019,TL,ST,CT,7,And pol,0
2019,TL,ST,CT,7,Bet nan,0.186915888
2019,TL,ST,CT,7,Car big,0.065420561
2019,TL,ST,CT,7,Cas tet,0
2019,TL,ST,CT,7,Emp nig,0
2019,TL,ST,CT,7,Eri vag,0.130841121
2019,TL,ST,CT,7,Led pal,0.093457944
2019,TL,ST,CT,7,Ped lap,0
2019,TL,ST,CT,7,Pol bis,0
2019,TL,ST,CT,7,Rub cha,0
2019,TL,ST,CT,7,Sal pul,0
2019,TL,ST,CT,7,Vac uli,0
2019,TL,ST,CT,7,Vac vit,0.065420561
2019,TL,ST,CT,7,St. D. Bet.,0
2019,TL,ST,CT,7,Dead,0.037383178
2019,TL,ST,CT,7,sal ret,0
2019,TL,ST,CT,7,vac vit winter kill,0.018691589
2019,TL,ST,CT,7,calcan,0
2019,TL,ST,CT,8,moss,0.212765957
2019,TL,ST,CT,8,lichen,0.031914894
2019,TL,ST,CT,8,litter,0.074468085
2019,TL,ST,CT,8,frost boil,0
2019,TL,ST,CT,8,bare,0.010638298
2019,TL,ST,CT,8,And pol,0
2019,TL,ST,CT,8,Bet nan,0.223404255
2019,TL,ST,CT,8,Car big,0.021276596
2019,TL,ST,CT,8,Cas tet,0
2019,TL,ST,CT,8,Emp nig,0.031914894
2019,TL,ST,CT,8,Eri vag,0.191489362
2019,TL,ST,CT,8,Led pal,0
2019,TL,ST,CT,8,Ped lap,0.005319149
2019,TL,ST,CT,8,Pol bis,0.005319149
2019,TL,ST,CT,8,Rub cha,0.031914894
2019,TL,ST,CT,8,Sal pul,0.031914894
2019,TL,ST,CT,8,Vac uli,0
2019,TL,ST,CT,8,Vac vit,0.106382979
2019,TL,ST,CT,8,St. D. Bet.,0
2019,TL,ST,CT,8,Dead,0
2019,TL,ST,CT,8,sal ret,0.021276596
2019,TL,ST,CT,8,vac vit winter kill,0
2019,TL,ST,CT,8,calcan,0
2019,TL,ST,EX,1,moss,0.112
2019,TL,ST,EX,1,lichen,0
2019,TL,ST,EX,1,litter,0.224
2019,TL,ST,EX,1,frost boil,0
2019,TL,ST,EX,1,bare,0
2019,TL,ST,EX,1,And pol,0
2019,TL,ST,EX,1,Bet nan,0.048
2019,TL,ST,EX,1,Car big,0.008
2019,TL,ST,EX,1,Cas tet,0
2019,TL,ST,EX,1,Emp nig,0
2019,TL,ST,EX,1,Eri vag,0.288
2019,TL,ST,EX,1,Led pal,0
2019,TL,ST,EX,1,Ped lap,0
2019,TL,ST,EX,1,Pol bis,0.016
2019,TL,ST,EX,1,Rub cha,0.008
2019,TL,ST,EX,1,Sal pul,0.112
2019,TL,ST,EX,1,Vac uli,0.08
2019,TL,ST,EX,1,Vac vit,0
2019,TL,ST,EX,1,St. D. Bet.,0.008
2019,TL,ST,EX,1,sal ret,0.096
2019,TL,ST,EX,1,unk 2,0
2019,TL,ST,EX,1,vac vit winter kill,0
2019,TL,ST,EX,2,moss,0.125
2019,TL,ST,EX,2,lichen,0.005681818
2019,TL,ST,EX,2,litter,0.170454545
2019,TL,ST,EX,2,frost boil,0
2019,TL,ST,EX,2,bare,0
2019,TL,ST,EX,2,And pol,0
2019,TL,ST,EX,2,Bet nan,0.102272727
2019,TL,ST,EX,2,Car big,0.005681818
2019,TL,ST,EX,2,Cas tet,0
2019,TL,ST,EX,2,Emp nig,0
2019,TL,ST,EX,2,Eri vag,0.261363636
2019,TL,ST,EX,2,Led pal,0.011363636
2019,TL,ST,EX,2,Ped lap,0
2019,TL,ST,EX,2,Pol bis,0.011363636
2019,TL,ST,EX,2,Rub cha,0.005681818
2019,TL,ST,EX,2,Sal pul,0.079545455
2019,TL,ST,EX,2,Vac uli,0.056818182
2019,TL,ST,EX,2,Vac vit,0
2019,TL,ST,EX,2,St. D. Bet.,0.079545455
2019,TL,ST,EX,2,sal ret,0.079545455
2019,TL,ST,EX,2,unk 2,0.005681818
2019,TL,ST,EX,2,vac vit winter kill,0
2019,TL,ST,EX,3,moss,0.089552239
2019,TL,ST,EX,3,lichen,0.007462687
2019,TL,ST,EX,3,litter,0.313432836
2019,TL,ST,EX,3,frost boil,0
2019,TL,ST,EX,3,bare,0
2019,TL,ST,EX,3,And pol,0
2019,TL,ST,EX,3,Bet nan,0.104477612
2019,TL,ST,EX,3,Car big,0.007462687
2019,TL,ST,EX,3,Cas tet,0
2019,TL,ST,EX,3,Emp nig,0.014925373
2019,TL,ST,EX,3,Eri vag,0.223880597
2019,TL,ST,EX,3,Led pal,0.007462687
2019,TL,ST,EX,3,Ped lap,0
2019,TL,ST,EX,3,Pol bis,0.014925373
2019,TL,ST,EX,3,Rub cha,0.007462687
2019,TL,ST,EX,3,Sal pul,0.134328358
2019,TL,ST,EX,3,Vac uli,0.029850746
2019,TL,ST,EX,3,Vac vit,0.007462687
2019,TL,ST,EX,3,St. D. Bet.,0
2019,TL,ST,EX,3,sal ret,0.029850746
2019,TL,ST,EX,3,unk 2,0
2019,TL,ST,EX,3,vac vit winter kill,0.007462687
2019,TL,ST,EX,4,moss,0.083333333
2019,TL,ST,EX,4,lichen,0.008333333
2019,TL,ST,EX,4,litter,0.183333333
2019,TL,ST,EX,4,frost boil,0
2019,TL,ST,EX,4,bare,0
2019,TL,ST,EX,4,And pol,0
2019,TL,ST,EX,4,Bet nan,0.083333333
2019,TL,ST,EX,4,Car big,0.033333333
2019,TL,ST,EX,4,Cas tet,0
2019,TL,ST,EX,4,Emp nig,0.033333333
2019,TL,ST,EX,4,Eri vag,0.4
2019,TL,ST,EX,4,Led pal,0.008333333
2019,TL,ST,EX,4,Ped lap,0
2019,TL,ST,EX,4,Pol bis,0.016666667
2019,TL,ST,EX,4,Rub cha,0
2019,TL,ST,EX,4,Sal pul,0.033333333
2019,TL,ST,EX,4,Vac uli,0.066666667
2019,TL,ST,EX,4,Vac vit,0
2019,TL,ST,EX,4,St. D. Bet.,0
2019,TL,ST,EX,4,sal ret,0.05
2019,TL,ST,EX,4,unk 2,0
2019,TL,ST,EX,4,vac vit winter kill,0
2019,TL,ST,EX,5,moss,0.054054054
2019,TL,ST,EX,5,lichen,0
2019,TL,ST,EX,5,litter,0.216216216
2019,TL,ST,EX,5,frost boil,0
2019,TL,ST,EX,5,bare,0
2019,TL,ST,EX,5,And pol,0
2019,TL,ST,EX,5,Bet nan,0.054054054
2019,TL,ST,EX,5,Car big,0.018018018
2019,TL,ST,EX,5,Cas tet,0
2019,TL,ST,EX,5,Emp nig,0
2019,TL,ST,EX,5,Eri vag,0.36036036
2019,TL,ST,EX,5,Led pal,0
2019,TL,ST,EX,5,Ped lap,0
2019,TL,ST,EX,5,Pol bis,0.009009009
2019,TL,ST,EX,5,Rub cha,0
2019,TL,ST,EX,5,Sal pul,0.108108108
2019,TL,ST,EX,5,Vac uli,0.054054054
2019,TL,ST,EX,5,Vac vit,0
2019,TL,ST,EX,5,St. D. Bet.,0
2019,TL,ST,EX,5,sal ret,0.126126126
2019,TL,ST,EX,5,unk 2,0
2019,TL,ST,EX,5,vac vit winter kill,0
2019,TL,ST,EX,6,moss,0.076923077
2019,TL,ST,EX,6,lichen,0
2019,TL,ST,EX,6,litter,0.276923077
2019,TL,ST,EX,6,frost boil,0
2019,TL,ST,EX,6,bare,0
2019,TL,ST,EX,6,And pol,0
2019,TL,ST,EX,6,Bet nan,0.046153846
2019,TL,ST,EX,6,Car big,0.007692308
2019,TL,ST,EX,6,Cas tet,0
2019,TL,ST,EX,6,Emp nig,0
2019,TL,ST,EX,6,Eri vag,0.338461538
2019,TL,ST,EX,6,Led pal,0
2019,TL,ST,EX,6,Ped lap,0
2019,TL,ST,EX,6,Pol bis,0.007692308
2019,TL,ST,EX,6,Rub cha,0
2019,TL,ST,EX,6,Sal pul,0.092307692
2019,TL,ST,EX,6,Vac uli,0.030769231
2019,TL,ST,EX,6,Vac vit,0
2019,TL,ST,EX,6,St. D. Bet.,0
2019,TL,ST,EX,6,sal ret,0.123076923
2019,TL,ST,EX,6,unk 2,0
2019,TL,ST,EX,6,vac vit winter kill,0
2019,TL,ST,EX,7,moss,0.041666667
2019,TL,ST,EX,7,lichen,0
2019,TL,ST,EX,7,litter,0.166666667
2019,TL,ST,EX,7,frost boil,0
2019,TL,ST,EX,7,bare,0
2019,TL,ST,EX,7,And pol,0
2019,TL,ST,EX,7,Bet nan,0.013888889
2019,TL,ST,EX,7,Car big,0
2019,TL,ST,EX,7,Cas tet,0.006944444
2019,TL,ST,EX,7,Emp nig,0
2019,TL,ST,EX,7,Eri vag,0.527777778
2019,TL,ST,EX,7,Led pal,0.006944444
2019,TL,ST,EX,7,Ped lap,0
2019,TL,ST,EX,7,Pol bis,0
2019,TL,ST,EX,7,Rub cha,0
2019,TL,ST,EX,7,Sal pul,0.097222222
2019,TL,ST,EX,7,Vac uli,0.027777778
2019,TL,ST,EX,7,Vac vit,0
2019,TL,ST,EX,7,St. D. Bet.,0
2019,TL,ST,EX,7,sal ret,0.111111111
2019,TL,ST,EX,7,unk 2,0
2019,TL,ST,EX,7,vac vit winter kill,0
2019,TL,ST,EX,8,moss,0.143884892
2019,TL,ST,EX,8,lichen,0.014388489
2019,TL,ST,EX,8,litter,0.230215827
2019,TL,ST,EX,8,frost boil,0
2019,TL,ST,EX,8,bare,0
2019,TL,ST,EX,8,And pol,0.014388489
2019,TL,ST,EX,8,Bet nan,0.071942446
2019,TL,ST,EX,8,Car big,0.007194245
2019,TL,ST,EX,8,Cas tet,0
2019,TL,ST,EX,8,Emp nig,0.014388489
2019,TL,ST,EX,8,Eri vag,0.287769784
2019,TL,ST,EX,8,Led pal,0
2019,TL,ST,EX,8,Ped lap,0
2019,TL,ST,EX,8,Pol bis,0
2019,TL,ST,EX,8,Rub cha,0
2019,TL,ST,EX,8,Sal pul,0.057553957
2019,TL,ST,EX,8,Vac uli,0.014388489
2019,TL,ST,EX,8,Vac vit,0
2019,TL,ST,EX,8,St. D. Bet.,0
2019,TL,ST,EX,8,sal ret,0.143884892
2019,TL,ST,EX,8,unk 2,0
2019,TL,ST,EX,8,vac vit winter kill,0
2019,TL,ST,PU,1,moss,0.103448276
2019,TL,ST,PU,1,lichen,0.022988506
2019,TL,ST,PU,1,litter,0.114942529
2019,TL,ST,PU,1,frost boil,0
2019,TL,ST,PU,1,bare,0
2019,TL,ST,PU,1,And pol,0
2019,TL,ST,PU,1,Bet nan,0.091954023
2019,TL,ST,PU,1,Car big,0.022988506
2019,TL,ST,PU,1,Cas tet,0.022988506
2019,TL,ST,PU,1,Emp nig,0.068965517
2019,TL,ST,PU,1,Eri vag,0.298850575
2019,TL,ST,PU,1,Led pal,0.011494253
2019,TL,ST,PU,1,Ped lap,0
2019,TL,ST,PU,1,Pol bis,0
2019,TL,ST,PU,1,Rub cha,0.091954023
2019,TL,ST,PU,1,Sal pul,0.034482759
2019,TL,ST,PU,1,Vac uli,0.034482759
2019,TL,ST,PU,1,Vac vit,0.022988506
2019,TL,ST,PU,1,St. D. Bet.,0
2019,TL,ST,PU,1,cas tet dead,0.022988506
2019,TL,ST,PU,1,arc alp,0.022988506
2019,TL,ST,PU,1,led pal dead,0.011494253
2019,TL,ST,PU,1,vac vit dead,0
2019,TL,ST,PU,1,dead shrub(bet)?,0
2019,TL,ST,PU,2,moss,0.193548387
2019,TL,ST,PU,2,lichen,0.036866359
2019,TL,ST,PU,2,litter,0.092165899
2019,TL,ST,PU,2,frost boil,0
2019,TL,ST,PU,2,bare,0
2019,TL,ST,PU,2,And pol,0
2019,TL,ST,PU,2,Bet nan,0.119815668
2019,TL,ST,PU,2,Car big,0.064516129
2019,TL,ST,PU,2,Cas tet,0.02764977
2019,TL,ST,PU,2,Emp nig,0.073732719
2019,TL,ST,PU,2,Eri vag,0.073732719
2019,TL,ST,PU,2,Led pal,0.00921659
2019,TL,ST,PU,2,Ped lap,0
2019,TL,ST,PU,2,Pol bis,0.004608295
2019,TL,ST,PU,2,Rub cha,0.110599078
2019,TL,ST,PU,2,Sal pul,0.092165899
2019,TL,ST,PU,2,Vac uli,0.01843318
2019,TL,ST,PU,2,Vac vit,0.082949309
2019,TL,ST,PU,2,St. D. Bet.,0
2019,TL,ST,PU,2,cas tet dead,0
2019,TL,ST,PU,2,arc alp,0
2019,TL,ST,PU,2,led pal dead,0
2019,TL,ST,PU,2,vac vit dead,0
2019,TL,ST,PU,2,dead shrub(bet)?,0
2019,TL,ST,PU,3,moss,0.08988764
2019,TL,ST,PU,3,lichen,0.033707865
2019,TL,ST,PU,3,litter,0.056179775
2019,TL,ST,PU,3,frost boil,0
2019,TL,ST,PU,3,bare,0
2019,TL,ST,PU,3,And pol,0.005617978
2019,TL,ST,PU,3,Bet nan,0.146067416
2019,TL,ST,PU,3,Car big,0.056179775
2019,TL,ST,PU,3,Cas tet,0.011235955
2019,TL,ST,PU,3,Emp nig,0.101123596
2019,TL,ST,PU,3,Eri vag,0.123595506
2019,TL,ST,PU,3,Led pal,0.011235955
2019,TL,ST,PU,3,Ped lap,0.005617978
2019,TL,ST,PU,3,Pol bis,0.011235955
2019,TL,ST,PU,3,Rub cha,0.112359551
2019,TL,ST,PU,3,Sal pul,0.101123596
2019,TL,ST,PU,3,Vac uli,0.011235955
2019,TL,ST,PU,3,Vac vit,0.123595506
2019,TL,ST,PU,3,St. D. Bet.,0
2019,TL,ST,PU,3,cas tet dead,0
2019,TL,ST,PU,3,arc alp,0
2019,TL,ST,PU,3,led pal dead,0
2019,TL,ST,PU,3,vac vit dead,0
2019,TL,ST,PU,3,dead shrub(bet)?,0
2019,TL,ST,PU,4,moss,0.086956522
2019,TL,ST,PU,4,lichen,0.02173913
2019,TL,ST,PU,4,litter,0.130434783
2019,TL,ST,PU,4,frost boil,0
2019,TL,ST,PU,4,bare,0
2019,TL,ST,PU,4,And pol,0
2019,TL,ST,PU,4,Bet nan,0.032608696
2019,TL,ST,PU,4,Car big,0.010869565
2019,TL,ST,PU,4,Cas tet,0
2019,TL,ST,PU,4,Emp nig,0.086956522
2019,TL,ST,PU,4,Eri vag,0.304347826
2019,TL,ST,PU,4,Led pal,0
2019,TL,ST,PU,4,Ped lap,0.005434783
2019,TL,ST,PU,4,Pol bis,0.005434783
2019,TL,ST,PU,4,Rub cha,0.02173913
2019,TL,ST,PU,4,Sal pul,0.076086957
2019,TL,ST,PU,4,Vac uli,0.152173913
2019,TL,ST,PU,4,Vac vit,0.065217391
2019,TL,ST,PU,4,St. D. Bet.,0
2019,TL,ST,PU,4,cas tet dead,0
2019,TL,ST,PU,4,arc alp,0
2019,TL,ST,PU,4,led pal dead,0
2019,TL,ST,PU,4,vac vit dead,0
2019,TL,ST,PU,4,dead shrub(bet)?,0
2019,TL,ST,PU,5,moss,0.157894737
2019,TL,ST,PU,5,lichen,0
2019,TL,ST,PU,5,litter,0.042105263
2019,TL,ST,PU,5,frost boil,0
2019,TL,ST,PU,5,bare,0
2019,TL,ST,PU,5,And pol,0.005263158
2019,TL,ST,PU,5,Bet nan,0.157894737
2019,TL,ST,PU,5,Car big,0.010526316
2019,TL,ST,PU,5,Cas tet,0
2019,TL,ST,PU,5,Emp nig,0.084210526
2019,TL,ST,PU,5,Eri vag,0.221052632
2019,TL,ST,PU,5,Led pal,0.010526316
2019,TL,ST,PU,5,Ped lap,0.010526316
2019,TL,ST,PU,5,Pol bis,0.005263158
2019,TL,ST,PU,5,Rub cha,0.042105263
2019,TL,ST,PU,5,Sal pul,0.042105263
2019,TL,ST,PU,5,Vac uli,0
2019,TL,ST,PU,5,Vac vit,0.136842105
2019,TL,ST,PU,5,St. D. Bet.,0
2019,TL,ST,PU,5,cas tet dead,0
2019,TL,ST,PU,5,arc alp,0
2019,TL,ST,PU,5,led pal dead,0
2019,TL,ST,PU,5,vac vit dead,0.031578947
2019,TL,ST,PU,5,dead shrub(bet)?,0.042105263
2019,TL,ST,PU,6,moss,0.305263158
2019,TL,ST,PU,6,lichen,0
2019,TL,ST,PU,6,litter,0.031578947
2019,TL,ST,PU,6,frost boil,0
2019,TL,ST,PU,6,bare,0
2019,TL,ST,PU,6,And pol,0
2019,TL,ST,PU,6,Bet nan,0.273684211
2019,TL,ST,PU,6,Car big,0.021052632
2019,TL,ST,PU,6,Cas tet,0
2019,TL,ST,PU,6,Emp nig,0.042105263
2019,TL,ST,PU,6,Eri vag,0.105263158
2019,TL,ST,PU,6,Led pal,0.010526316
2019,TL,ST,PU,6,Ped lap,0
2019,TL,ST,PU,6,Pol bis,0.021052632
2019,TL,ST,PU,6,Rub cha,0.031578947
2019,TL,ST,PU,6,Sal pul,0.021052632
2019,TL,ST,PU,6,Vac uli,0
2019,TL,ST,PU,6,Vac vit,0.094736842
2019,TL,ST,PU,6,St. D. Bet.,0
2019,TL,ST,PU,6,cas tet dead,0
2019,TL,ST,PU,6,arc alp,0
2019,TL,ST,PU,6,led pal dead,0
2019,TL,ST,PU,6,vac vit dead,0.042105263
2019,TL,ST,PU,6,dead shrub(bet)?,0
2019,TL,ST,PU,7,moss,0.210526316
2019,TL,ST,PU,7,lichen,0.004784689
2019,TL,ST,PU,7,litter,0.038277512
2019,TL,ST,PU,7,frost boil,0
2019,TL,ST,PU,7,bare,0
2019,TL,ST,PU,7,And pol,0.028708134
2019,TL,ST,PU,7,Bet nan,0.229665072
2019,TL,ST,PU,7,Car big,0.019138756
2019,TL,ST,PU,7,Cas tet,0
2019,TL,ST,PU,7,Emp nig,0.009569378
2019,TL,ST,PU,7,Eri vag,0.133971292
2019,TL,ST,PU,7,Led pal,0.009569378
2019,TL,ST,PU,7,Ped lap,0
2019,TL,ST,PU,7,Pol bis,0.019138756
2019,TL,ST,PU,7,Rub cha,0.028708134
2019,TL,ST,PU,7,Sal pul,0.086124402
2019,TL,ST,PU,7,Vac uli,0
2019,TL,ST,PU,7,Vac vit,0.105263158
2019,TL,ST,PU,7,St. D. Bet.,0.019138756
2019,TL,ST,PU,7,cas tet dead,0
2019,TL,ST,PU,7,arc alp,0
2019,TL,ST,PU,7,led pal dead,0.057416268
2019,TL,ST,PU,7,vac vit dead,0
2019,TL,ST,PU,7,dead shrub(bet)?,0
2019,TL,ST,PU,8,moss,0.158730159
2019,TL,ST,PU,8,lichen,0.005291005
2019,TL,ST,PU,8,litter,0.063492063
2019,TL,ST,PU,8,frost boil,0
2019,TL,ST,PU,8,bare,0
2019,TL,ST,PU,8,And pol,0.021164021
2019,TL,ST,PU,8,Bet nan,0.126984127
2019,TL,ST,PU,8,Car big,0
2019,TL,ST,PU,8,Cas tet,0
2019,TL,ST,PU,8,Emp nig,0.042328042
2019,TL,ST,PU,8,Eri vag,0.243386243
2019,TL,ST,PU,8,Led pal,0.021164021
2019,TL,ST,PU,8,Ped lap,0.021164021
2019,TL,ST,PU,8,Pol bis,0.010582011
2019,TL,ST,PU,8,Rub cha,0.042328042
2019,TL,ST,PU,8,Sal pul,0.031746032
2019,TL,ST,PU,8,Vac uli,0
2019,TL,ST,PU,8,Vac vit,0.105820106
2019,TL,ST,PU,8,St. D. Bet.,0.010582011
2019,TL,ST,PU,8,cas tet dead,0
2019,TL,ST,PU,8,arc alp,0
2019,TL,ST,PU,8,led pal dead,0.052910053
2019,TL,ST,PU,8,vac vit dead,0.042328042
2019,TL,ST,PU,8,dead shrub(bet)?,0
